Category,City,Country,Customer ID,Customer Name,Discount,Number of Records,Order Date,Order ID (Returns),Order ID,Person,Postal Code,Product ID,Product Name,Profit,Quantity,Region (People),Region,Returned,Row ID,Sales,Segment,Ship Date,Ship Mode,State1,Sub-Category
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",$7,2,East,East,Yes,59,14.56,Consumer,6/18/2018,First Class,New York,Paper
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",$7,2,East,East,Yes,59,14.56,Consumer,6/18/2018,First Class,New York,Paper
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",$7,2,East,East,Yes,59,14.56,Consumer,6/18/2018,First Class,New York,Paper
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",$7,2,East,East,Yes,59,14.56,Consumer,6/18/2018,First Class,New York,Paper
Technology,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$3,2,East,East,Yes,60,30,Consumer,6/18/2018,First Class,New York,Accessories
Technology,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$3,2,East,East,Yes,60,30,Consumer,6/18/2018,First Class,New York,Accessories
Technology,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$3,2,East,East,Yes,60,30,Consumer,6/18/2018,First Class,New York,Accessories
Technology,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$3,2,East,East,Yes,60,30,Consumer,6/18/2018,First Class,New York,Accessories
Technology,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$3,2,East,East,Yes,60,30,Consumer,6/18/2018,First Class,New York,Accessories
Technology,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$3,2,East,East,Yes,60,30,Consumer,6/18/2018,First Class,New York,Accessories
Technology,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$3,2,East,East,Yes,60,30,Consumer,6/18/2018,First Class,New York,Accessories
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.2,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-BI-10001460,Plastic Binding Combs,$16,4,East,East,Yes,61,48.48,Consumer,6/18/2018,First Class,New York,Binders
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.2,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-BI-10001460,Plastic Binding Combs,$16,4,East,East,Yes,61,48.48,Consumer,6/18/2018,First Class,New York,Binders
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.2,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-BI-10001460,Plastic Binding Combs,$16,4,East,East,Yes,61,48.48,Consumer,6/18/2018,First Class,New York,Binders
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.2,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-BI-10001460,Plastic Binding Combs,$16,4,East,East,Yes,61,48.48,Consumer,6/18/2018,First Class,New York,Binders
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.2,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-BI-10001460,Plastic Binding Combs,$16,4,East,East,Yes,61,48.48,Consumer,6/18/2018,First Class,New York,Binders
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.2,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-BI-10001460,Plastic Binding Combs,$16,4,East,East,Yes,61,48.48,Consumer,6/18/2018,First Class,New York,Binders
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.2,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-BI-10001460,Plastic Binding Combs,$16,4,East,East,Yes,61,48.48,Consumer,6/18/2018,First Class,New York,Binders
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,$1,1,East,East,Yes,62,1.68,Consumer,6/18/2018,First Class,New York,Art
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,$1,1,East,East,Yes,62,1.68,Consumer,6/18/2018,First Class,New York,Art
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,$1,1,East,East,Yes,62,1.68,Consumer,6/18/2018,First Class,New York,Art
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,$1,1,East,East,Yes,62,1.68,Consumer,6/18/2018,First Class,New York,Art
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,$1,1,East,East,Yes,62,1.68,Consumer,6/18/2018,First Class,New York,Art
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,$1,1,East,East,Yes,62,1.68,Consumer,6/18/2018,First Class,New York,Art
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,CA-2018-111682,Chuck Magee,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,$1,1,East,East,Yes,62,1.68,Consumer,6/18/2018,First Class,New York,Art
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0,1,9/17/2018,CA-2018-109806,CA-2018-109806,Anna Andreadi,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,$7,3,West,West,Yes,90,20.1,Corporate,9/22/2018,Standard Class,California,Art
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0,1,9/17/2018,CA-2018-109806,CA-2018-109806,Anna Andreadi,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,$7,3,West,West,Yes,90,20.1,Corporate,9/22/2018,Standard Class,California,Art
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0,1,9/17/2018,CA-2018-109806,CA-2018-109806,Anna Andreadi,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,$7,3,West,West,Yes,90,20.1,Corporate,9/22/2018,Standard Class,California,Art
Technology,Los Angeles,United States,JS-15685,Jim Sink,0.2,1,9/17/2018,CA-2018-109806,CA-2018-109806,Anna Andreadi,90036,TEC-PH-10004093,Panasonic Kx-TS550,$8,2,West,West,Yes,91,73.584,Corporate,9/22/2018,Standard Class,California,Phones
Technology,Los Angeles,United States,JS-15685,Jim Sink,0.2,1,9/17/2018,CA-2018-109806,CA-2018-109806,Anna Andreadi,90036,TEC-PH-10004093,Panasonic Kx-TS550,$8,2,West,West,Yes,91,73.584,Corporate,9/22/2018,Standard Class,California,Phones
Technology,Los Angeles,United States,JS-15685,Jim Sink,0.2,1,9/17/2018,CA-2018-109806,CA-2018-109806,Anna Andreadi,90036,TEC-PH-10004093,Panasonic Kx-TS550,$8,2,West,West,Yes,91,73.584,Corporate,9/22/2018,Standard Class,California,Phones
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0,1,9/17/2018,CA-2018-109806,CA-2018-109806,Anna Andreadi,90036,OFF-PA-10000304,Xerox 1995,$3,1,West,West,Yes,92,6.48,Corporate,9/22/2018,Standard Class,California,Paper
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0,1,9/17/2018,CA-2018-109806,CA-2018-109806,Anna Andreadi,90036,OFF-PA-10000304,Xerox 1995,$3,1,West,West,Yes,92,6.48,Corporate,9/22/2018,Standard Class,California,Paper
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0,1,9/17/2018,CA-2018-109806,CA-2018-109806,Anna Andreadi,90036,OFF-PA-10000304,Xerox 1995,$3,1,West,West,Yes,92,6.48,Corporate,9/22/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001804,Xerox 195,$10,3,West,West,Yes,134,20.04,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001804,Xerox 195,$10,3,West,West,Yes,134,20.04,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001804,Xerox 195,$10,3,West,West,Yes,134,20.04,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001804,Xerox 195,$10,3,West,West,Yes,134,20.04,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001804,Xerox 195,$10,3,West,West,Yes,134,20.04,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001804,Xerox 195,$10,3,West,West,Yes,134,20.04,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001804,Xerox 195,$10,3,West,West,Yes,134,20.04,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001736,Xerox 1880,$17,1,West,West,Yes,135,35.44,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001736,Xerox 1880,$17,1,West,West,Yes,135,35.44,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001736,Xerox 1880,$17,1,West,West,Yes,135,35.44,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001736,Xerox 1880,$17,1,West,West,Yes,135,35.44,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001736,Xerox 1880,$17,1,West,West,Yes,135,35.44,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001736,Xerox 1880,$17,1,West,West,Yes,135,35.44,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-PA-10001736,Xerox 1880,$17,1,West,West,Yes,135,35.44,Consumer,10/19/2018,Standard Class,California,Paper
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",$3,4,West,West,Yes,136,11.52,Consumer,10/19/2018,Standard Class,California,Art
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",$3,4,West,West,Yes,136,11.52,Consumer,10/19/2018,Standard Class,California,Art
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",$3,4,West,West,Yes,136,11.52,Consumer,10/19/2018,Standard Class,California,Art
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",$3,4,West,West,Yes,136,11.52,Consumer,10/19/2018,Standard Class,California,Art
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",$3,4,West,West,Yes,136,11.52,Consumer,10/19/2018,Standard Class,California,Art
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",$3,4,West,West,Yes,136,11.52,Consumer,10/19/2018,Standard Class,California,Art
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",$3,4,West,West,Yes,136,11.52,Consumer,10/19/2018,Standard Class,California,Art
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-FA-10002988,Ideal Clamps,$2,2,West,West,Yes,137,4.02,Consumer,10/19/2018,Standard Class,California,Fasteners
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-FA-10002988,Ideal Clamps,$2,2,West,West,Yes,137,4.02,Consumer,10/19/2018,Standard Class,California,Fasteners
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-FA-10002988,Ideal Clamps,$2,2,West,West,Yes,137,4.02,Consumer,10/19/2018,Standard Class,California,Fasteners
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-FA-10002988,Ideal Clamps,$2,2,West,West,Yes,137,4.02,Consumer,10/19/2018,Standard Class,California,Fasteners
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-FA-10002988,Ideal Clamps,$2,2,West,West,Yes,137,4.02,Consumer,10/19/2018,Standard Class,California,Fasteners
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-FA-10002988,Ideal Clamps,$2,2,West,West,Yes,137,4.02,Consumer,10/19/2018,Standard Class,California,Fasteners
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-FA-10002988,Ideal Clamps,$2,2,West,West,Yes,137,4.02,Consumer,10/19/2018,Standard Class,California,Fasteners
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0.2,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-BI-10004781,GBC Wire Binding Strips,$27,3,West,West,Yes,138,76.176,Consumer,10/19/2018,Standard Class,California,Binders
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0.2,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-BI-10004781,GBC Wire Binding Strips,$27,3,West,West,Yes,138,76.176,Consumer,10/19/2018,Standard Class,California,Binders
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0.2,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-BI-10004781,GBC Wire Binding Strips,$27,3,West,West,Yes,138,76.176,Consumer,10/19/2018,Standard Class,California,Binders
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0.2,1,10/13/2018,CA-2018-145583,CA-2018-145583,Anna Andreadi,95661,OFF-BI-10004781,GBC Wire Binding Strips,$27,3,West,West,Yes,138,76.176,Consumer,10/19/2018,Standard Class,California,Binders
