Category,City,Country,Customer ID,Customer Name,Discount,Number of Records,Order Date,Order ID,Person,Postal Code,Product ID,Product Name,Profit,Quantity,Region (People),Region,Row ID,Sales,Segment,Ship Date,Ship Mode,State1,Sub-Category
Office Supplies,Fremont,United States,KB-16585,Ken Black,0,1,12/9/2018,CA-2018-137330,Kelly Williams,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",$16,7,Central,Central,23,60.34,Corporate,12/13/2018,Standard Class,Nebraska,Appliances
Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,0.3,1,7/16/2019,US-2019-156909,Chuck Magee,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",-$1,2,East,East,24,71.372,Consumer,7/18/2019,Second Class,Pennsylvania,Chairs
Furniture,Orem,United States,EB-13870,Emily Burns,0,1,9/25/2017,CA-2017-106320,Anna Andreadi,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,$240,3,West,West,25,1044.63,Consumer,9/30/2017,Standard Class,Utah,Tables
Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,0.2,1,1/16/2018,CA-2018-121755,Anna Andreadi,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,$4,2,West,West,26,11.648,Consumer,1/20/2018,Second Class,California,Binders
Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,0,1,1/16/2018,CA-2018-121755,Anna Andreadi,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,$12,3,West,West,27,90.57,Consumer,1/20/2018,Second Class,California,Accessories
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,0.5,1,9/17/2017,US-2017-150630,Chuck Magee,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","-$1,665",7,East,East,28,3083.43,Consumer,9/21/2017,Standard Class,Pennsylvania,Bookcases
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.7,1,9/17/2017,US-2017-150630,Chuck Magee,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,-$7,2,East,East,29,9.618,Consumer,9/21/2017,Standard Class,Pennsylvania,Binders
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,0.2,1,9/17/2017,US-2017-150630,Chuck Magee,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",$16,3,East,East,30,124.2,Consumer,9/21/2017,Standard Class,Pennsylvania,Furnishings
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.2,1,9/17/2017,US-2017-150630,Chuck Magee,19140,OFF-EN-10001509,Poly String Tie Envelopes,$1,2,East,East,31,3.264,Consumer,9/21/2017,Standard Class,Pennsylvania,Envelopes
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.2,1,9/17/2017,US-2017-150630,Chuck Magee,19140,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",$10,6,East,East,32,86.304,Consumer,9/21/2017,Standard Class,Pennsylvania,Art
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.7,1,9/17/2017,US-2017-150630,Chuck Magee,19140,OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-$6,6,East,East,33,6.858,Consumer,9/21/2017,Standard Class,Pennsylvania,Binders
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,0.2,1,9/17/2017,US-2017-150630,Chuck Magee,19140,OFF-AR-10001683,Lumber Crayons,$4,2,East,East,34,15.76,Consumer,9/21/2017,Standard Class,Pennsylvania,Art
Office Supplies,Houston,United States,MA-17560,Matt Abelman,0.2,1,10/19/2019,CA-2019-107727,Kelly Williams,77095,OFF-PA-10000249,Easy-staple paper,$10,3,Central,Central,35,29.472,Home Office,10/23/2019,Second Class,Texas,Paper
Technology,Richardson,United States,GH-14485,Gene Hale,0.2,1,12/8/2018,CA-2018-117590,Kelly Williams,75080,TEC-PH-10004977,GE 30524EE4,$123,7,Central,Central,36,1097.544,Corporate,12/10/2018,First Class,Texas,Phones
Furniture,Richardson,United States,GH-14485,Gene Hale,0.6,1,12/8/2018,CA-2018-117590,Kelly Williams,75080,FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",-$148,5,Central,Central,37,190.92,Corporate,12/10/2018,First Class,Texas,Furnishings
Office Supplies,Houston,United States,SN-20710,Steve Nguyen,0.2,1,12/27/2017,CA-2017-117415,Kelly Williams,77041,OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",$35,9,Central,Central,38,113.328,Home Office,12/31/2017,Standard Class,Texas,Envelopes
Furniture,Houston,United States,SN-20710,Steve Nguyen,0.32,1,12/27/2017,CA-2017-117415,Kelly Williams,77041,FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",-$47,3,Central,Central,39,532.3992,Home Office,12/31/2017,Standard Class,Texas,Bookcases
Furniture,Houston,United States,SN-20710,Steve Nguyen,0.3,1,12/27/2017,CA-2017-117415,Kelly Williams,77041,FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",-$15,3,Central,Central,40,212.058,Home Office,12/31/2017,Standard Class,Texas,Chairs
Technology,Houston,United States,SN-20710,Steve Nguyen,0.2,1,12/27/2017,CA-2017-117415,Kelly Williams,77041,TEC-PH-10000486,Plantronics HL10 Handset Lifter,$42,4,Central,Central,41,371.168,Home Office,12/31/2017,Standard Class,Texas,Phones
Technology,Naperville,United States,LC-16930,Linda Cazamias,0.2,1,9/10/2019,CA-2019-120999,Kelly Williams,60540,TEC-PH-10004093,Panasonic Kx-TS550,$17,4,Central,Central,42,147.168,Corporate,9/15/2019,Standard Class,Illinois,Phones
Office Supplies,Los Angeles,United States,RA-19885,Ruben Ausman,0,1,7/17/2018,CA-2018-101343,Anna Andreadi,90049,OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",$4,2,West,West,43,77.88,Corporate,7/22/2018,Standard Class,California,Storage
Office Supplies,Melbourne,United States,ES-14080,Erin Smith,0.2,1,9/19/2019,CA-2019-139619,Cassandra Brandow,32935,OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",$10,2,South,South,44,95.616,Corporate,9/23/2019,Standard Class,Florida,Storage
Technology,Eagan,United States,ON-18715,Odella Nelson,0,1,3/11/2018,CA-2018-118255,Kelly Williams,55122,TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",$20,2,Central,Central,45,45.98,Corporate,3/13/2018,First Class,Minnesota,Accessories
Office Supplies,Eagan,United States,ON-18715,Odella Nelson,0,1,3/11/2018,CA-2018-118255,Kelly Williams,55122,OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,$8,2,Central,Central,46,17.46,Corporate,3/13/2018,First Class,Minnesota,Binders
Office Supplies,Westland,United States,PO-18865,Patrick O'Donnell,0,1,10/20/2016,CA-2016-146703,Kelly Williams,48185,OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",$8,4,Central,Central,47,211.96,Consumer,10/25/2016,Second Class,Michigan,Storage
Technology,Dover,United States,LH-16900,Lena Hernandez,0,1,6/20/2018,CA-2018-169194,Chuck Magee,19901,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$5,3,East,East,48,45,Consumer,6/25/2018,Standard Class,Delaware,Accessories
Technology,Dover,United States,LH-16900,Lena Hernandez,0,1,6/20/2018,CA-2018-169194,Chuck Magee,19901,TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$6,2,East,East,49,21.8,Consumer,6/25/2018,Standard Class,Delaware,Phones
Office Supplies,New Albany,United States,DP-13000,Darren Powers,0,1,4/18/2017,CA-2017-115742,Kelly Williams,47150,OFF-BI-10004410,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",$18,6,Central,Central,50,38.22,Consumer,4/22/2017,Standard Class,Indiana,Binders
Office Supplies,New Albany,United States,DP-13000,Darren Powers,0,1,4/18/2017,CA-2017-115742,Kelly Williams,47150,OFF-LA-10002762,Avery 485,$35,6,Central,Central,51,75.18,Consumer,4/22/2017,Standard Class,Indiana,Labels
Furniture,New Albany,United States,DP-13000,Darren Powers,0,1,4/18/2017,CA-2017-115742,Kelly Williams,47150,FUR-FU-10001706,Longer-Life Soft White Bulbs,$3,2,Central,Central,52,6.16,Consumer,4/22/2017,Standard Class,Indiana,Furnishings
Furniture,New Albany,United States,DP-13000,Darren Powers,0,1,4/18/2017,CA-2017-115742,Kelly Williams,47150,FUR-CH-10003061,"Global Leather Task Chair, Black",$17,1,Central,Central,53,89.99,Consumer,4/22/2017,Standard Class,Indiana,Chairs
Office Supplies,New York City,United States,JM-15265,Janet Molinari,0,1,12/11/2018,CA-2018-105816,Chuck Magee,10024,OFF-FA-10000304,Advantus Push Pins,$6,7,East,East,54,15.26,Corporate,12/17/2018,Standard Class,New York,Fasteners
Technology,New York City,United States,JM-15265,Janet Molinari,0,1,12/11/2018,CA-2018-105816,Chuck Magee,10024,TEC-PH-10002447,AT&T CL83451 4-Handset Telephone,$299,5,East,East,55,1029.95,Corporate,12/17/2018,Standard Class,New York,Phones
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,Chuck Magee,12180,OFF-ST-10000604,Home/Office Personal File Carts,$52,6,East,East,56,208.56,Consumer,6/18/2018,First Class,New York,Storage
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,Chuck Magee,12180,OFF-PA-10001569,Xerox 232,$16,5,East,East,57,32.4,Consumer,6/18/2018,First Class,New York,Paper
Furniture,Troy,United States,TB-21055,Ted Butterfield,0.1,1,6/17/2018,CA-2018-111682,Chuck Magee,12180,FUR-CH-10003968,Novimex Turbo Task Chair,$7,5,East,East,58,319.41,Consumer,6/18/2018,First Class,New York,Chairs
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,Chuck Magee,12180,OFF-PA-10000587,"Array Parchment Paper, Assorted Colors",$7,2,East,East,59,14.56,Consumer,6/18/2018,First Class,New York,Paper
Technology,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,Chuck Magee,12180,TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,$3,2,East,East,60,30,Consumer,6/18/2018,First Class,New York,Accessories
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0.2,1,6/17/2018,CA-2018-111682,Chuck Magee,12180,OFF-BI-10001460,Plastic Binding Combs,$16,4,East,East,61,48.48,Consumer,6/18/2018,First Class,New York,Binders
Office Supplies,Troy,United States,TB-21055,Ted Butterfield,0,1,6/17/2018,CA-2018-111682,Chuck Magee,12180,OFF-AR-10001868,Prang Dustless Chalk Sticks,$1,1,East,East,62,1.68,Consumer,6/18/2018,First Class,New York,Art
Technology,Los Angeles,United States,KM-16720,Kunst Miller,0,1,11/24/2017,CA-2017-135545,Anna Andreadi,90004,TEC-AC-10004633,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",$6,2,West,West,63,13.98,Consumer,11/30/2017,Standard Class,California,Accessories
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,0.2,1,11/24/2017,CA-2017-135545,Anna Andreadi,90004,OFF-BI-10001078,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",$9,6,West,West,64,25.824,Consumer,11/30/2017,Standard Class,California,Binders
Office Supplies,Los Angeles,United States,KM-16720,Kunst Miller,0,1,11/24/2017,CA-2017-135545,Anna Andreadi,90004,OFF-PA-10003892,Xerox 1943,$69,3,West,West,65,146.73,Consumer,11/30/2017,Standard Class,California,Paper
Furniture,Los Angeles,United States,KM-16720,Kunst Miller,0,1,11/24/2017,CA-2017-135545,Anna Andreadi,90004,FUR-FU-10000397,Luxo Economy Swing Arm Lamp,$22,4,West,West,66,79.76,Consumer,11/30/2017,Standard Class,California,Furnishings
Furniture,Chicago,United States,PS-18970,Paul Stevenson,0.3,1,4/30/2017,US-2017-164175,Kelly Williams,60610,FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",-$15,5,Central,Central,67,213.115,Home Office,5/5/2017,Standard Class,Illinois,Chairs
Office Supplies,Gilbert,United States,BS-11590,Brendan Sweed,0.2,1,12/5/2016,CA-2016-106376,Anna Andreadi,85234,OFF-AR-10002671,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",$111,8,West,West,68,1113.024,Corporate,12/10/2016,Standard Class,Arizona,Art
Technology,Gilbert,United States,BS-11590,Brendan Sweed,0.2,1,12/5/2016,CA-2016-106376,Anna Andreadi,85234,TEC-PH-10002726,netTALK DUO VoIP Telephone Service,$63,4,West,West,69,167.968,Corporate,12/10/2016,Standard Class,Arizona,Phones
Office Supplies,Springfield,United States,KD-16270,Karen Daniels,0,1,6/4/2018,CA-2018-119823,Cassandra Brandow,22153,OFF-PA-10000482,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",$36,2,South,South,70,75.88,Consumer,6/6/2018,First Class,Virginia,Paper
Office Supplies,New York City,United States,HM-14980,Henry MacAllister,0.2,1,9/18/2018,CA-2018-106075,Chuck Magee,10009,OFF-BI-10004654,Avery Binding System Hidden Tab Executive Style Index Sets,$2,1,East,East,71,4.616,Consumer,9/23/2018,Standard Class,New York,Binders
Office Supplies,Jackson,United States,TB-21520,Tracy Blumstein,0,1,9/14/2019,CA-2019-114440,Kelly Williams,49201,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",$9,3,Central,Central,72,19.05,Consumer,9/17/2019,Second Class,Michigan,Paper
Furniture,Memphis,United States,JE-15745,Joel Eaton,0.2,1,4/26/2017,US-2017-134026,Cassandra Brandow,38109,FUR-CH-10000513,High-Back Leather Manager's Chair,-$114,8,South,South,73,831.936,Consumer,5/2/2017,Standard Class,Tennessee,Chairs
Furniture,Memphis,United States,JE-15745,Joel Eaton,0.2,1,4/26/2017,US-2017-134026,Cassandra Brandow,38109,FUR-FU-10003708,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",$1,2,South,South,74,97.04,Consumer,5/2/2017,Standard Class,Tennessee,Furnishings
Office Supplies,Memphis,United States,JE-15745,Joel Eaton,0.2,1,4/26/2017,US-2017-134026,Cassandra Brandow,38109,OFF-ST-10004123,Safco Industrial Wire Shelving System,-$18,1,South,South,75,72.784,Consumer,5/2/2017,Standard Class,Tennessee,Storage
Office Supplies,Houston,United States,KB-16600,Ken Brennan,0.8,1,12/9/2019,US-2019-118038,Kelly Williams,77041,OFF-BI-10004182,Economy Binders,-$2,3,Central,Central,76,1.248,Corporate,12/11/2019,First Class,Texas,Binders
Furniture,Houston,United States,KB-16600,Ken Brennan,0.6,1,12/9/2019,US-2019-118038,Kelly Williams,77041,FUR-FU-10000260,"6"" Cubicle Wall Clock, Black",-$6,3,Central,Central,77,9.708,Corporate,12/11/2019,First Class,Texas,Furnishings
Office Supplies,Houston,United States,KB-16600,Ken Brennan,0.2,1,12/9/2019,US-2019-118038,Kelly Williams,77041,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",$3,3,Central,Central,78,27.24,Corporate,12/11/2019,First Class,Texas,Storage
Furniture,Houston,United States,JE-15745,Joel Eaton,0.6,1,11/26/2016,US-2016-147606,Kelly Williams,77070,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",-$14,5,Central,Central,79,19.3,Consumer,12/1/2016,Second Class,Texas,Furnishings
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,0,1,6/12/2018,CA-2018-127208,Cassandra Brandow,35601,OFF-AP-10002118,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",$56,1,South,South,80,208.16,Corporate,6/15/2018,First Class,Alabama,Appliances
Office Supplies,Decatur,United States,SC-20770,Stewart Carmichael,0,1,6/12/2018,CA-2018-127208,Cassandra Brandow,35601,OFF-BI-10002309,Avery Heavy-Duty EZD  Binder With Locking Rings,$8,3,South,South,81,16.74,Corporate,6/15/2018,First Class,Alabama,Binders
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,0,1,10/12/2016,CA-2016-139451,Anna Andreadi,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",$4,5,West,West,82,14.9,Consumer,10/16/2016,Standard Class,California,Art
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,0,1,10/12/2016,CA-2016-139451,Anna Andreadi,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",$6,1,West,West,83,21.39,Consumer,10/16/2016,Standard Class,California,Storage
Office Supplies,Durham,United States,JC-16105,Julie Creighton,0.2,1,9/3/2017,CA-2017-149734,Cassandra Brandow,27707,OFF-EN-10000927,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,$63,7,South,South,84,200.984,Corporate,9/8/2017,Standard Class,North Carolina,Envelopes
Office Supplies,Chicago,United States,CS-12400,Christopher Schild,0.2,1,11/13/2019,US-2019-119662,Kelly Williams,60623,OFF-ST-10003656,Safco Industrial Wire Shelving,-$49,3,Central,Central,85,230.376,Home Office,11/16/2019,First Class,Illinois,Storage
Furniture,Columbia,United States,PO-18865,Patrick O'Donnell,0,1,5/28/2019,CA-2019-140088,Cassandra Brandow,29203,FUR-CH-10000863,Novimex Swivel Fabric Task Chair,$33,2,South,South,86,301.96,Consumer,5/30/2019,Second Class,South Carolina,Chairs
Technology,Rochester,United States,PG-18895,Paul Gonzalez,0,1,10/26/2019,CA-2019-155558,Kelly Williams,55901,TEC-AC-10001998,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,$7,1,Central,Central,87,19.99,Consumer,11/2/2019,Standard Class,Minnesota,Accessories
Office Supplies,Rochester,United States,PG-18895,Paul Gonzalez,0,1,10/26/2019,CA-2019-155558,Kelly Williams,55901,OFF-LA-10000134,Avery 511,$3,2,Central,Central,88,6.16,Consumer,11/2/2019,Standard Class,Minnesota,Labels
Office Supplies,Houston,United States,GM-14455,Gary Mitchum,0.2,1,4/5/2018,CA-2018-159695,Kelly Williams,77095,OFF-ST-10003442,Eldon Portable Mobile Manager,$14,7,Central,Central,89,158.368,Home Office,4/10/2018,Second Class,Texas,Storage
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0,1,9/17/2018,CA-2018-109806,Anna Andreadi,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,$7,3,West,West,90,20.1,Corporate,9/22/2018,Standard Class,California,Art
Technology,Los Angeles,United States,JS-15685,Jim Sink,0.2,1,9/17/2018,CA-2018-109806,Anna Andreadi,90036,TEC-PH-10004093,Panasonic Kx-TS550,$8,2,West,West,91,73.584,Corporate,9/22/2018,Standard Class,California,Phones
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0,1,9/17/2018,CA-2018-109806,Anna Andreadi,90036,OFF-PA-10000304,Xerox 1995,$3,1,West,West,92,6.48,Corporate,9/22/2018,Standard Class,California,Paper
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,0,1,1/31/2017,CA-2017-149587,Kelly Williams,55407,OFF-PA-10003177,Xerox 1999,$6,2,Central,Central,93,12.96,Consumer,2/5/2017,Second Class,Minnesota,Paper
Furniture,Minneapolis,United States,KB-16315,Karl Braun,0,1,1/31/2017,CA-2017-149587,Kelly Williams,55407,FUR-FU-10003799,"Seth Thomas 13 1/2"" Wall Clock",$17,3,Central,Central,94,53.34,Consumer,2/5/2017,Second Class,Minnesota,Furnishings
Office Supplies,Minneapolis,United States,KB-16315,Karl Braun,0,1,1/31/2017,CA-2017-149587,Kelly Williams,55407,OFF-BI-10002852,Ibico Standard Transparent Covers,$16,2,Central,Central,95,32.96,Consumer,2/5/2017,Second Class,Minnesota,Binders
Office Supplies,Portland,United States,RB-19705,Roger Barcio,0.7,1,11/6/2019,US-2019-109484,Anna Andreadi,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,-$4,1,West,West,96,5.682,Home Office,11/12/2019,Standard Class,Oregon,Binders
Furniture,New York City,United States,PN-18775,Parhena Norris,0,1,11/9/2019,CA-2019-161018,Chuck Magee,10009,FUR-FU-10000629,9-3/4 Diameter Round Wall Clock,$41,7,East,East,97,96.53,Home Office,11/11/2019,Second Class,New York,Furnishings
Office Supplies,San Francisco,United States,KD-16345,Katherine Ducich,0.2,1,6/17/2019,CA-2019-157833,Anna Andreadi,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,$18,3,West,West,98,51.312,Consumer,6/20/2019,First Class,California,Binders
Office Supplies,Saint Paul,United States,ER-13855,Elpida Rittenbach,0,1,9/6/2018,CA-2018-149223,Kelly Williams,55106,OFF-AP-10000358,Fellowes Basic Home/Office Series Surge Protectors,$23,6,Central,Central,99,77.88,Corporate,9/11/2018,Standard Class,Minnesota,Appliances
